,action,reward
0,0,1.4
1,0,1.4
2,0,0.5999999999999999
3,1,0.0
4,1,1.4
5,0,1.4
6,2,1.4
7,3,1.4
8,2,0.0
9,0,1.4
10,0,1.4
11,1,0.5999999999999999
12,1,1.4
13,1,1.4
14,3,0.5999999999999999
15,3,1.4
16,0,1.4
17,1,1.4
18,2,0.0
19,2,0.0
20,1,1.4
21,2,0.0
22,3,1.4
23,1,1.4
24,3,1.4
25,1,0.5999999999999999
26,0,1.4
27,1,-0.20000000000000018
28,3,0.5999999999999999
29,0,0.5999999999999999
30,3,1.4
31,3,1.4
32,2,0.0
33,0,1.4
34,2,0.0
35,1,1.4
36,0,1.4
37,2,1.4
38,1,0.5999999999999999
39,3,1.4
40,3,1.4
41,2,1.4
42,2,1.4
43,2,-1.6
44,1,-1.0000000000000004
45,0,1.4
46,0,1.4
47,3,1.4
48,2,1.4
49,3,1.4
50,3,1.4
51,1,1.4
52,1,1.4
53,3,1.4
54,0,1.4
55,0,1.4
56,2,0.0
57,0,-0.20000000000000018
58,3,1.4
59,3,1.4
60,0,1.4
61,0,0.5999999999999999
62,3,1.4
63,1,1.4
64,1,-1.0000000000000004
65,1,-1.8000000000000003
66,2,0.0
67,3,1.4
68,3,0.5999999999999999
69,1,-0.20000000000000018
70,3,1.4
71,0,1.4
72,2,1.4
73,3,1.4
74,1,0.5999999999999999
75,1,1.4
76,2,1.4
77,2,0.0
78,0,0.5999999999999999
79,1,1.4
80,2,1.4
81,3,1.4
82,3,1.4
83,3,1.4
84,1,0.5999999999999999
85,2,0.5999999999999999
86,2,0.5999999999999999
87,1,1.4
88,2,0.0
89,2,0.0
90,0,1.4
91,2,0.0
92,0,-1.0000000000000004
93,3,1.4
94,1,1.4
95,0,-0.20000000000000018
96,2,1.4
97,1,1.4
98,0,0.5999999999999999
99,3,1.4
100,2,1.4
101,0,1.4
102,3,1.4
103,0,-0.20000000000000018
104,0,1.4
105,3,1.4
106,1,1.4
107,0,1.4
108,1,1.4
109,3,1.4
110,0,1.4
111,1,1.4
112,0,1.4
113,1,1.4
114,1,1.4
115,2,0.0
116,3,-1.6
117,3,0.5999999999999999
118,3,1.4
119,0,1.4
120,0,1.4
121,3,0.5999999999999999
122,2,0.0
123,3,1.4
124,0,1.4
125,3,1.4
126,3,1.4
127,3,0.5999999999999999
128,0,0.5999999999999999
129,0,1.4
