,action,reward
0,1,1.4
1,1,1.4
2,3,0.5999999999999999
3,2,0.0
4,0,1.4
5,3,1.4
6,3,1.4
7,0,1.4
8,3,1.4
9,1,1.4
10,2,0.5999999999999999
11,3,1.4
12,1,1.4
13,3,0.5999999999999999
14,3,0.5999999999999999
15,2,1.4
16,1,1.4
17,0,1.4
18,1,0.5999999999999999
19,1,1.4
20,2,1.4
21,2,0.0
22,0,1.4
23,0,1.4
24,1,1.4
25,2,1.4
26,0,1.4
27,2,1.4
28,3,0.5999999999999999
29,2,1.4
30,3,1.4
31,0,1.4
32,0,1.4
33,3,1.4
34,3,1.4
35,1,1.4
36,2,1.4
37,2,1.4
38,0,0.5999999999999999
39,1,1.4
40,0,1.4
41,0,1.4
42,3,0.5999999999999999
43,1,1.4
44,0,-1.8000000000000003
45,3,1.4
46,0,1.4
47,3,1.4
48,0,0.5999999999999999
49,0,1.4
50,1,1.4
51,0,1.4
52,1,1.4
53,3,1.4
54,2,0.5999999999999999
55,1,1.4
56,3,1.4
57,2,-0.20000000000000018
58,0,1.4
59,3,1.4
60,0,1.4
61,3,1.4
62,0,1.4
63,0,1.4
64,0,-1.0000000000000004
65,3,1.4
66,3,-0.20000000000000018
67,1,0.5999999999999999
68,1,1.4
69,3,1.4
70,1,1.4
71,1,1.4
72,1,0.5999999999999999
73,1,1.4
74,1,0.5999999999999999
75,0,1.4
76,2,1.4
77,3,0.5999999999999999
78,3,1.4
79,3,0.5999999999999999
80,1,1.4
81,2,0.5999999999999999
82,0,-1.0000000000000004
83,0,1.4
84,3,1.4
85,1,-0.20000000000000018
86,3,1.4
87,3,1.4
88,3,1.4
89,0,0.5999999999999999
90,3,1.4
91,1,0.5999999999999999
92,3,1.4
93,3,1.4
94,1,1.4
95,0,-0.20000000000000018
96,2,1.4
97,2,0.0
98,1,0.5999999999999999
99,1,-1.0000000000000004
100,3,1.4
101,0,1.4
102,3,1.4
103,3,0.5999999999999999
104,2,0.0
105,1,-1.0000000000000004
106,1,1.4
107,2,0.0
108,0,1.4
109,2,0.5999999999999999
110,1,1.4
111,0,1.4
112,1,1.4
113,3,1.4
114,0,1.4
115,2,0.0
116,0,1.4
117,3,0.5999999999999999
118,2,0.0
119,3,1.4
120,3,1.4
121,2,-0.8
122,0,1.4
123,3,1.4
124,0,1.4
125,1,1.4
126,3,1.4
127,2,0.0
128,1,0.5999999999999999
129,0,1.4
130,1,-3.2
131,3,1.4
132,2,1.4
133,0,1.4
134,1,1.4
135,1,1.4
136,2,1.4
137,3,1.4
138,2,0.0
139,2,0.5999999999999999
140,3,1.4
141,3,1.4
142,2,0.0
143,2,0.5999999999999999
144,0,1.4
145,0,0.5999999999999999
146,0,1.4
147,3,1.4
148,3,1.4
149,0,1.4
150,0,-1.0000000000000004
151,0,1.4
152,3,-1.0000000000000004
153,0,1.4
154,2,1.4
155,0,1.4
156,2,0.5999999999999999
157,2,1.4
158,0,1.4
159,2,0.0
160,0,-0.20000000000000018
161,1,1.4
162,2,0.5999999999999999
163,2,0.0
164,0,1.4
165,0,1.4
166,0,0.5999999999999999
167,2,0.0
168,3,1.4
169,1,1.4
170,0,1.4
171,2,1.4
172,2,0.0
173,3,1.4
174,1,0.5999999999999999
175,3,1.4
176,1,-1.0000000000000004
177,3,1.4
178,2,1.4
179,2,1.4
180,1,1.4
181,2,1.4
182,3,1.4
183,1,0.5999999999999999
184,1,1.4
185,0,1.4
186,1,1.4
187,0,1.4
188,1,0.5999999999999999
189,1,1.4
190,0,-0.20000000000000018
191,3,1.4
192,1,0.5999999999999999
193,0,1.4
194,3,1.4
195,2,0.0
196,1,1.4
197,3,1.4
198,2,1.4
199,2,0.0
200,3,1.4
201,3,1.4
202,0,1.4
203,0,1.4
204,0,1.4
205,0,1.4
206,1,1.4
207,2,0.0
208,3,1.4
209,0,1.4
210,1,-0.20000000000000018
